Ca-Ogg Vorbis-article.ogg	Gravació de l'article Ogg Vorbis de la Viquipèdia en català.	PD-self
Amàlia Garrigós - voice (llarg).ogg	Autopresentació (llarga) d'Amàlia Garrigós, realitzada a la seua entrevista a La Represa	cc-by-sa-4.0
La Represa - Ràdio Godella - 16-12-2016.ogg	Entrevista a Amàlia Garrigós a 'La Represa' (Ràdio Godella, Xarxa d'Emissores Municipals Valencianes) estrenada el 12 de desembre de 2016	cc-by-sa-4.0
Individual 2016 i entrevista a Grau.ogg	Crònica de la segona partida de semifinals del XXXI Individual i entrevista a Grau, realitzada al programa n. 31 de Colp a Colp.	CC-BY-SA 4.0
Aritz Lasa a Colp a Colp (gener 2017).ogg	Entrevista amb Aritz Lasa després de la partida celebrada al Puig contra Adrián de Quart.	CC-BY-SA 4.0
Joan Baldoví - voice.ogg	Mostra de veu de Joan Baldoví	cc-by-sa-4.0
5-4 dictat ok.ogg	dictat musical	cc-by-sa-4.0
(KARAOKE) - DÉJATE LLEVAR - iLeoVlogs y DalasReview.ogg	Cançó "Déjate llevar" dels youtubers iLeoVlogs i DalasReview, versió karaoke.	LicenseReview|site=[https://www.youtube.com/watch?v=v3uDBefpKjQ <nowiki>[KARAOKE]</nowiki> - DÉJATE LLEVAR - iLeoVlogs y DalasReview]|user=Daphne Lantier|date=2017-03-11
Rosa Solbes - voice.ogg	Presentació de Rosa Solbes al 63 programa de La Represa	cc-by-sa-4.0
Àgueda Micó - voice.ogg	Autopresentació d'Àgueda Micó, realitzada a la seua entrevista a La Represa.	cc-by-sa-4.0
Veu de Víctor Pàmies i Riudor.ogg	Veu de Víctor Pàmies i Riudor enregistrada a la Casa Orlandai el mes de març de 2017.	cc-by-sa-3.0
Sento parla de la trilogia del Dr. Uriel.ogg	Seixanta-uné programa de La Represa. Entrevista amb Sento Llobell	cc-by-sa-4.0
Sento Llobell - voice.ogg	Seixanta-uné programa de La Represa. Entrevista amb Sento Llobell	cc-by-sa-4.0
La Represa - Ràdio Godella - 17-02-2017.ogg	Seixanta-uné programa de La Represa. Entrevista amb Sento Llobell	cc-by-sa-4.0
La Represa - Ràdio Godella - 14-04-2017.ogg	Entrevista amb Ernest Garcia. La Represa, Ràdio Godella	CC-BY-SA 4.0
Ernest Garcia - voice.ogg	Autopresentació d'Ernest Garcia, realitzada a la seua entrevista a La Represa.	CC-BY-SA 4.0
La Tarara (Serra).ogg	Cançons de Pasqua: La Tarara, Estos tres dies de Pasqua-Xúmbala cantades per veïnes de Serra	PermissionTicket|id=2016111410011367|user=Ruthven
Entrevista Federico Montagud - Colp a Colp 52.ogg	Entrevista amb Federico Montagud.	CC-BY-SA 4.0
Montaner i Coeter - Colp a Colp 49.ogg	Declaracions de Montaner i Coeter II de cara a l'inici de la XXIV Lliga Professional de Raspall	CC-BY-SA 4.0
Javi i Nacho - Colp a Colp 51.ogg	Javi i Nacho analitzen l'última partida de semifinals de la XXVI Lliga Professional d'Escala i Corda.	CC-BY-SA 4.0
Prèvia Final Lliga EiC 2017 - Colp a Colp 52.ogg	Prèvia a la primera partida de la final. El trinqueter Adrián, Soro i Pere-Roc.	CC-BY-SA 4.0
Andreu Banyuls - voice.ogg	Autopresentació d'Andreu Banyuls	CC-BY-SA 4.0
La Represa - Ràdio Godella - 5-04-2017.ogg	Entrevista amb Andreu Banyuls, 72 edició de La Represa.	CC-BY-SA 4.0
Colp a Colp 54 - XXVI Lliga d'Escala i Corda.ogg	Declaracions per al programa 54 de Colp a Colp.<br /> Javi i Monrabal analitzen la segona partida de la final.	CC-BY-SA 4.0
Declaracions Baldu (maig 2017).ogg	Declaracions per al programa 54 de Colp a Colp.	CC-BY-SA 4.0
Colp a Colp 54 - Semifinals XXIV Lliga Raspall.ogg	Declaracions per al programa 54 de Colp a Colp.<br />Sergio, Brisca, Ian i Sanchis analitzen els trinquets de les semifinals en la roda de premsa posterior al sorteig de les seus.	CC-BY-SA 4.0
Antonio Estañ - voice.ogg	Autopresentació d'Antonio Estañ. Enregistrada a La Represa, Ràdio Godella, Xarxa d'Emissores Municipals Valencianes.	cc-by-sa-4.0
La Represa - Ràdio Godella - 7-4-2017.ogg	Entrevista amb Antonio Estañ. Enregistrada a La Represa, Ràdio Godella, Xarxa d'Emissores Municipals Valencianes.	cc-by-sa-4.0
Miguel Hache - voice.ogg	Autopresentació de Miguel Hache extreta de l'entrevista a 'La Represa' (Ràdio Godella, Xarxa d'Emissores Municipals Valencianes) estrenada el 2 de desembre de 2016	cc-by-sa-4.0
La Represa - Ràdio Godella - 2-12-2016.ogg	Entrevista a Miguel Hache a 'La Represa' (Ràdio Godella, Xarxa d'Emissores Municipals Valencianes) estrenada el 2 de desembre de 2016	cc-by-sa-4.0
Víctor Maceda - voice.ogg	Autopresentació de Víctor Maceda, enregistrada al programa ''La Represa''.	cc-by-sa-4.0
Dolors Escamilla - voice.ogg	Autopresentació de Dolors Escamilla, enregistrada al programa ''La Represa''.	cc-by-sa-4.0
La Represa - Ràdio Godella - 23-06-2017.ogg	Entrevista amb Víctor Maceda, estrenada el 23 de juny de 2017.	cc-by-sa-4.0
La Represa - Ràdio Godella - 30-06-2017.ogg	Entrevista amb Dolors Escamilla, estrenada el 30 de juny de 2017.	cc-by-sa-4.0
